Latitude,Longitude,City,Country,Temperature,Humidity,Cloudiness,Wind Speed,Date,Maximum Temperature
28.54,-80.67,Merritt Island,US,71.6,94,1,3.0,1602661212,73.0
38.73,-120.8,Placerville,US,66.76,28,20,10.29,1602661186,71.6
20.22,-96.78,Nautla,MX,75.6,90,9,7.45,1602661212,75.6
46.19,-123.83,Astoria,US,54.03,76,40,6.93,1602661212,57.0
24.83,-100.07,Galeana,MX,56.32,87,2,2.98,1602661212,56.32
34.8,-106.54,Meadow Lake,US,53.15,21,1,6.93,1602661212,55.4
36.41,-105.57,Taos,US,37.54,25,1,3.36,1602661212,39.2
27.6,-110.38,Potam,MX,81.28,67,100,1.01,1602661213,82.0
32.45,-99.73,Abilene,US,68.41,52,1,10.29,1602661213,69.8
39.41,-74.36,Brigantine,US,54.34,87,1,6.93,1602661213,55.99
42.33,-83.33,Garden City,US,46.47,70,20,6.93,1602661213,48.2
49.2,-113.3,Cardston,CA,39.2,100,75,9.17,1602660993,41.0
35.94,-77.79,Rocky Mount,US,58.35,100,20,5.66,1602661213,59.0
48.83,-72.53,Normandin,CA,44.6,93,90,3.36,1602661214,44.6
51.94,1.28,Harwich,GB,51.48,65,40,11.01,1602661214,55.0
46.7,-75.45,Ferme-Neuve,CA,42.58,92,100,3.27,1602661214,42.58
39.49,-80.14,Fairmont,US,44.92,96,6,5.06,1602661163,46.99
21.28,-88.27,Panabá,MX,74.12,91,84,6.11,1602661214,74.12
60.49,-151.06,Soldotna,US,35.4,93,40,1.92,1602661214,37.4
35.05,-78.88,Fayetteville,US,58.84,72,1,9.17,1602661214,62.6
39.03,-92.33,Boone,US,52.79,54,1,5.82,1602661214,55.4
49.92,-109.48,Maple Creek,CA,37.74,92,100,17.25,1602661215,37.74
34.42,-79.37,Dillon,US,59.88,93,1,6.82,1602661215,61.0
-32.58,151.78,Clarence Town,AU,68.59,77,20,14.99,1602661215,71.01
45.17,10.78,Province of Mantua,IT,46.99,89,69,1.99,1602661215,46.99
32.27,-90.13,Pearl,US,52.93,93,1,3.13,1602661215,54.0
47.5,-111.3,Great Falls,US,45.43,52,1,27.51,1602661215,48.0
37.17,-119.83,Madera,US,67.06,45,0,1.01,1602661215,69.01
28.02,-97.05,Rockport,US,76.77,94,1,3.36,1602661215,79.0
54.43,-124.25,Fort Saint James,CA,33.55,87,100,2.21,1602661216,33.55
50.03,-113.59,Claresholm,CA,35.49,94,100,19.46,1602661216,41.0
30.33,-81.66,Jacksonville,US,73.56,88,40,4.7,1602661053,75.2
32.0,-102.08,Midland,US,67.44,64,1,10.29,1602661216,68.0
23.12,113.25,Guangzhou,CN,80.65,61,75,6.71,1602661032,82.4
43.15,-77.68,Monroe,US,48.58,81,75,8.05,1602661216,52.0
20.55,-102.52,Atotonilco el Alto,MX,59.47,91,6,2.77,1602661216,59.47
21.09,-87.45,Kantunilkín,MX,80.31,74,20,2.51,1602661217,80.6
30.37,-88.56,Pascagoula,US,58.42,87,1,9.42,1602660984,60.01
36.71,-97.09,Ponca City,US,60.49,48,1,6.93,1602661217,62.6
40.04,-111.73,Payson,US,54.46,32,1,4.7,1602661217,55.99
43.42,-116.13,Ada,US,55.31,62,1,10.29,1602661217,57.2
32.45,-81.78,Statesboro,US,64.15,93,1,6.17,1602661217,66.2
35.98,-114.83,Boulder City,US,68.61,36,1,1.57,1602661217,72.0
42.1,-79.24,Jamestown,US,42.89,75,20,6.93,1602660992,43.0
21.58,-104.82,Puga,MX,68.11,96,68,2.48,1602661218,68.11
45.54,-122.39,Troutdale,US,51.96,76,90,4.07,1602661218,54.0
31.87,-81.61,Fort Stewart,US,66.74,88,1,3.78,1602661218,68.0
36.59,-79.39,Danville,US,52.83,66,1,6.93,1602660938,53.6
39.47,-118.78,Fallon,US,58.98,33,1,5.82,1602661218,63.0
37.7,-121.94,Dublin,US,63.0,59,1,3.36,1602661218,66.2
28.41,-80.6,Cape Canaveral,US,72.07,88,1,3.18,1602661218,75.0
18.63,-91.83,Ciudad del Carmen,MX,80.87,82,98,13.85,1602661219,80.87
40.18,-122.24,Red Bluff,US,69.49,39,1,8.05,1602661219,78.8
44.9,-89.77,Marathon,US,41.47,70,100,6.17,1602661219,44.01
32.78,-79.93,Charleston,US,71.06,100,40,8.93,1602661207,73.0
41.57,-93.75,West Des Moines,US,50.67,53,90,6.93,1602661219,53.01
50.03,-66.87,Port-Cartier,CA,41.0,100,90,10.29,1602661219,41.0
48.14,-80.04,Kirkland Lake,CA,48.2,81,90,11.41,1602661219,48.2
41.36,-93.56,Indianola,US,49.28,53,90,6.93,1602661219,51.8
27.67,-105.17,Camargo,MX,70.52,36,100,3.36,1602661220,70.52
14.35,121.02,City of San Pedro,PH,77.0,94,90,4.7,1602661174,77.0
40.36,-83.76,Bellefontaine,US,50.02,70,1,3.36,1602661139,53.01
55.77,-120.24,Dawson Creek,CA,33.8,98,90,4.7,1602661220,33.8
36.11,-115.25,Spring Valley,US,70.09,16,1,6.93,1602661143,73.4
15.06,120.72,Mexico,PH,87.8,66,90,9.17,1602661196,87.8
22.53,-81.13,Jagüey Grande,CU,68.0,100,20,3.36,1602661220,68.0
25.5,-76.65,Dunmore Town,BS,81.84,76,99,12.33,1602661220,81.84
26.77,-109.67,Etchoropo,MX,81.0,68,100,4.63,1602661221,81.0
46.92,-98.0,Valley City,US,46.4,70,90,10.29,1602661221,46.4
42.5,-94.17,Fort Dodge,US,46.74,61,1,11.92,1602661221,48.2
-23.32,-46.22,Santa Isabel,BR,60.8,77,8,2.24,1602661221,60.8
43.87,-79.87,Caledon East,CA,47.97,81,20,5.82,1602661221,50.0
44.58,-75.68,Brockville,CA,44.47,100,1,4.85,1602661221,50.0
42.87,-72.28,Swanzey,US,46.6,100,90,3.36,1602661221,48.0
24.8,-107.39,Culiacán,MX,76.75,86,99,2.53,1602660928,79.0
43.55,-80.25,Guelph,CA,48.06,81,1,6.93,1602661221,48.2
47.49,-117.58,Cheney,US,43.97,65,20,23.04,1602661074,45.0
38.42,-108.27,Montrose,US,45.41,31,1,9.17,1602661222,46.99
29.29,-81.06,Ormond Beach,US,72.25,100,1,4.03,1602661021,73.99
42.09,-76.81,Elmira,US,42.31,93,1,6.93,1602661222,43.0
28.22,-106.58,Valentín Gómez Farías,MX,63.99,45,100,1.86,1602661222,63.99
21.28,-88.93,Dzilam González,MX,74.93,93,79,4.36,1602661222,74.93
34.06,-117.65,Ontario,US,70.41,31,1,6.93,1602661036,77.0
40.27,-76.88,Harrisburg,US,45.79,75,1,3.36,1602660931,48.2
41.44,-85.27,Kendallville,US,46.36,87,8,3.36,1602661222,48.99
49.03,-119.45,Osoyoos,CA,42.57,57,75,3.36,1602661223,51.8
37.75,-100.02,Dodge City,US,58.44,47,1,13.87,1602661030,59.0
30.05,-99.14,Kerrville,US,64.31,77,1,5.95,1602661223,66.0
44.76,-85.62,Traverse City,US,46.4,75,1,5.82,1602661223,46.4
51.57,-101.9,Kamsack,CA,33.8,69,75,2.24,1602661223,33.8
53.37,-104.0,Nipawin,CA,28.4,68,1,11.41,1602661223,28.4
20.13,-88.92,Peto,MX,72.86,99,99,2.21,1602661223,72.86
36.0,-96.11,Sapulpa,US,57.31,81,1,10.71,1602661224,60.8
33.49,-80.86,Orangeburg,US,65.61,88,1,8.05,1602661224,68.0
29.65,-82.32,Gainesville,US,70.83,100,1,2.91,1602661022,72.0
40.08,-74.07,Point Pleasant,US,51.57,87,1,5.82,1602661224,54.0
41.85,-88.31,Batavia,US,44.44,70,1,3.56,1602661224,46.99
21.8,-100.75,Santa María del Río,MX,60.8,82,5,2.73,1602661224,60.8
35.25,-91.74,Searcy,US,48.94,100,1,3.69,1602661224,50.0
40.52,-111.94,Riverton,US,59.49,33,1,3.67,1602661224,62.01
42.58,-72.0,Gardner,US,48.27,93,1,6.93,1602661225,50.0
29.57,-104.42,Ojinaga,MX,72.55,33,1,5.82,1602661225,77.0
47.69,-114.16,Polson,US,46.08,61,90,10.29,1602661225,46.4
36.24,-90.06,Kennett,US,50.58,100,1,3.47,1602661225,51.01
46.3,-73.38,Saint-Gabriel,CA,46.51,100,90,4.7,1602661225,46.99
31.84,-102.5,West Odessa,US,66.85,63,1,8.05,1602661225,68.0
30.37,-107.95,Casas Grandes,MX,65.03,28,42,4.47,1602661225,65.03
55.27,-118.79,Clairmont,CA,30.2,92,90,3.36,1602661226,30.2
34.26,-85.16,Rome,US,50.94,81,1,4.05,1602661226,51.8
40.83,14.25,Naples,IT,59.72,87,20,2.24,1602660632,62.01
41.83,-70.83,Plymouth,US,52.07,93,90,8.05,1602661067,53.01
42.21,-121.74,Altamont,US,52.29,76,1,13.87,1602660968,53.6
36.29,-76.25,Elizabeth City,US,57.85,87,1,6.93,1602661226,60.8
44.06,-103.15,Rapid Valley,US,53.2,37,1,29.97,1602661226,54.0
42.45,-75.06,Oneonta,US,40.68,84,0,3.47,1602661136,41.0
36.85,-75.98,Virginia Beach,US,60.17,67,20,9.17,1602661133,62.6
50.09,-97.22,Stony Mountain,CA,43.86,42,75,10.29,1602661227,44.6
55.07,-117.29,Valleyview,CA,27.23,92,100,4.23,1602661227,27.23
35.08,-80.67,Indian Trail,US,55.06,67,1,9.17,1602661227,57.2
55.62,-3.52,Biggar,GB,49.35,10,77,1.99,1602661227,50.0
47.94,-97.43,Grand Forks,US,47.37,65,75,9.17,1602661227,48.2
49.12,-85.84,Manitouwadge,CA,35.91,88,9,5.3,1602661227,35.91
20.51,-86.95,San Miguel de Cozumel,MX,80.29,74,20,11.05,1602661227,80.6
21.28,-89.67,Progreso,MX,78.91,94,5,9.26,1602661227,79.0
42.77,-78.67,Erie,US,49.42,57,75,8.05,1602661091,51.8
40.77,-72.85,Mastic Beach,US,53.11,71,1,11.41,1602661228,53.6
44.25,-85.4,Cadillac,US,33.8,85,1,6.06,1602661228,33.8
33.77,-118.19,Long Beach,US,69.71,77,1,1.01,1602661010,71.01
34.96,-89.83,Olive Branch,US,52.72,93,0,1.72,1602661228,57.0
40.16,-83.08,Powell,US,50.25,61,1,8.77,1602661068,51.01
29.59,-81.21,Palm Coast,US,72.43,94,1,4.7,1602661228,73.99
50.77,0.1,Seaford,GB,45.61,97,31,18.97,1602661228,46.99
52.33,-109.93,Macklin,CA,35.04,77,100,10.27,1602661229,35.04
24.56,-81.78,Key West,US,82.53,70,20,6.93,1602661229,84.2
41.58,-87.5,Hammond,US,46.11,65,1,3.83,1602661229,50.0
46.87,-96.77,Moorhead,US,50.9,42,90,9.17,1602661229,51.8
36.21,-86.29,Lebanon,US,46.4,100,75,2.77,1602661229,46.4
19.21,-69.34,Samaná,DO,75.56,86,0,1.81,1602661229,75.56
39.5,-89.77,Virden,US,51.03,68,100,1.99,1602661229,52.0
41.15,-82.55,Huron,US,52.3,68,0,1.01,1602661230,53.01
24.7,-77.77,Andros Town,BS,80.6,83,40,6.93,1602661230,80.6
